SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B
1,100,0,0,0,54.96,-35.58,-38.27
2,70,0,0,0,64.02,-26.25,-27.05
3,40,0,0,0,74.92,-14.68,-13.19
4,20,0,0,0,82.10,-7.11,-3.80
5,10,0,0,0,85.63,-3.54,0.48
6,0,100,0,0,47.61,66.22,-2.83
7,0,70,0,0,57.75,47.43,-3.83
8,0,40,0,0,71.28,25.09,-1.72
9,0,20,0,0,80.34,11.57,1.33
10,0,10,0,0,84.75,5.51,2.96
11,0,0,100,0,82.75,-0.64,86.06
12,0,0,70,0,84.20,-2.08,62.28
13,0,0,40,0,86.06,-2.19,35.58
14,0,0,20,0,87.38,-1.35,19.07
15,0,0,10,0,88.20,-0.80,11.67
16,0,0,0,10,83.03,-0.01,4.15
17,0,0,0,20,76.85,0.01,3.67
18,0,0,0,40,63.79,0.18,2.85
19,0,0,0,60,50.42,0.42,2.32
20,0,0,0,80,35.88,0.71,2.14
21,0,0,0,100,22.40,1.08,2.29
22,0,100,0,100,15.36,12.95,1.71
23,0,70,70,60,32.56,22.60,17.96
24,0,0,70,80,33.97,-1.50,20.24
25,100,100,0,0,27.83,12.60,-39.27
26,70,70,0,0,41.01,12.16,-30.29
27,40,40,0,0,60.35,7.66,-17.13
28,20,20,0,0,74.53,3.96,-6.54
29,10,10,0,0,81.70,1.95,-1.00
30,0,100,100,0,46.69,61.88,39.89
31,0,70,70,0,55.75,44.47,34.59
32,0,40,40,0,69.39,23.15,23.51
33,0,20,20,0,79.28,10.39,14.45
34,0,10,10,0,84.13,4.95,9.61
35,100,0,100,0,48.95,-53.01,25.40
36,70,0,70,0,59.23,-36.28,23.18
37,40,0,40,0,72.16,-18.67,15.96
38,20,0,20,0,80.81,-8.64,10.20
39,10,0,10,0,84.94,-4.24,7.36
40,10,6,6,0,82.92,-0.68,3.53
41,20,12,12,0,76.96,-1.55,2.28
42,40,27,27,0,63.92,-2.97,0.93
43,60,45,45,0,50.25,-4.19,0.02
44,80,65,65,0,38.03,-5.21,-1.66
45,100,85,85,0,29.22,-7.09,-4.46
46,100,0,0,100,15.85,-5.21,-5.76
47,20,100,70,60,25.37,27.31,9.53
48,70,0,70,80,25.67,-13.14,7.84
49,100,100,100,0,26.56,-1.47,-2.84
50,70,70,70,0,38.69,3.85,3.63
51,40,40,40,0,58.28,4.12,7.07
52,20,20,20,0,73.41,2.48,6.38
53,10,10,10,0,81.11,1.27,5.54
54,20,70,70,0,51.09,34.63,26.39
55,40,70,70,20,40.14,19.58,14.59
56,40,100,100,20,32.68,33.54,17.35
57,40,100,40,20,33.18,36.62,-2.71
58,40,40,100,20,48.30,2.36,37.46
59,100,40,100,20,34.79,-28.23,10.78
60,100,40,40,20,36.62,-22.51,-15.36
61,100,100,40,20,24.11,4.65,-20.63
62,10,40,40,0,66.82,18.71,19.71
63,0,40,100,0,66.79,23.85,65.37
64,0,100,40,0,47.22,63.67,14.11
65,40,100,0,0,38.72,45.62,-19.33
66,40,0,100,0,68.52,-19.20,61.20
67,100,0,40,0,52.40,-46.26,-11.23
68,100,40,0,0,44.22,-17.26,-38.82
69,0,0,0,0,89.15,-0.02,4.63
70,0,0,100,100,21.41,-1.88,12.28
71,0,70,0,60,34.03,25.04,-2.58
72,70,0,0,80,27.10,-8.72,-8.37
